iter:0,loss:2.031752109527588,miou:0.025089263916015625
iter:1,loss:2.9059643745422363,miou:0.023317262530326843
iter:2,loss:2.8750903606414795,miou:0.013645699247717857
iter:3,loss:3.2847554683685303,miou:0.006744064390659332
iter:4,loss:2.0801033973693848,miou:0.030256226658821106
iter:5,loss:2.360095739364624,miou:0.03721780702471733
iter:6,loss:2.208401918411255,miou:0.08965709805488586
iter:7,loss:2.2291975021362305,miou:0.02231140062212944
iter:8,loss:3.0212326049804688,miou:0.025370677933096886
iter:9,loss:1.8760035037994385,miou:0.03943587839603424
iter:10,loss:3.876755475997925,miou:0.01265361811965704
iter:11,loss:2.20605731010437,miou:0.02594350464642048
iter:12,loss:1.9620717763900757,miou:0.0339963324368
iter:13,loss:2.53666615486145,miou:0.032612062990665436
iter:14,loss:1.8355867862701416,miou:0.020079083740711212
iter:15,loss:1.4484204053878784,miou:0.025820013135671616
iter:16,loss:2.378079891204834,miou:0.020735394209623337
iter:17,loss:3.7046308517456055,miou:0.007741965353488922
iter:18,loss:2.7590858936309814,miou:0.027446679770946503
iter:19,loss:1.7158921957015991,miou:0.0372576043009758
iter:20,loss:3.483186721801758,miou:0.014094142243266106
iter:21,loss:1.7707546949386597,miou:0.02407389134168625
iter:22,loss:1.4146664142608643,miou:0.03515021502971649
iter:23,loss:2.1784424781799316,miou:0.03610614687204361
iter:24,loss:0.9435482025146484,miou:0.06083988770842552
iter:25,loss:1.3974640369415283,miou:0.06297201663255692
iter:26,loss:1.666585922241211,miou:0.0253192987293005
iter:27,loss:3.168654441833496,miou:0.015149174258112907
iter:28,loss:4.118772506713867,miou:0.005563241895288229
iter:29,loss:5.281967639923096,miou:0.003962197806686163
iter:30,loss:2.064852476119995,miou:0.06076590716838837
iter:31,loss:1.637056827545166,miou:0.06422353535890579
iter:32,loss:1.1720798015594482,miou:0.04975240305066109
iter:33,loss:2.6310980319976807,miou:0.06168302148580551
iter:34,loss:1.8034192323684692,miou:0.029190903529524803
iter:35,loss:1.9753793478012085,miou:0.07580830156803131
iter:36,loss:1.2340466976165771,miou:0.05494485795497894
iter:37,loss:2.3864593505859375,miou:0.030661093071103096
iter:38,loss:2.223464012145996,miou:0.033534660935401917
iter:39,loss:1.2081432342529297,miou:0.04581387713551521
iter:40,loss:0.8322438597679138,miou:0.11249874532222748
iter:41,loss:1.9642250537872314,miou:0.051383256912231445
iter:42,loss:2.5812466144561768,miou:0.04172001779079437
iter:43,loss:1.7687132358551025,miou:0.06605613231658936
